H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_OH(r)

 Bin no.        r             g(r)        std.
    197  5.850010     0.9841276     0.4463970E-01
    198  5.880010     0.9852687     0.4511320E-01
    199  5.910010     0.9847820     0.4508478E-01
    200  5.940011     0.9821514     0.4465104E-01
    201  5.970011     0.9841334     0.4320323E-01
    202  6.000011     0.9839352     0.4405775E-01
    203  6.030011     0.9820192     0.4323771E-01
    204  6.060011     0.9804544     0.4299441E-01
    205  6.090012     0.9827074     0.4324254E-01
    206  6.120012     0.9834236     0.4292989E-01
    207  6.150012     0.9832313     0.4317771E-01
    208  6.180012     0.9826680     0.4286528E-01
    209  6.210012     0.9821487     0.4267715E-01
    210  6.240013     0.9818724     0.4132905E-01
    211  6.270013     0.9844670     0.4220245E-01
    212  6.300013     0.9854634     0.4192187E-01
    213  6.330013     0.9856257     0.4213177E-01
    214  6.360013     0.9877070     0.4236315E-01
    215  6.390014     0.9880646     0.4114693E-01
    216  6.420014     0.9904132     0.4114041E-01
    217  6.450014     0.9912331     0.4136221E-01
    218  6.480014     0.9942166     0.4001449E-01
    219  6.510015     0.9947220     0.4011417E-01
    220  6.540015     0.9969131     0.3985928E-01
    221  6.570015     0.9964589     0.4045963E-01
    222  6.600015     0.9994643     0.4047215E-01
    223  6.630015      1.001202     0.4000928E-01
    224  6.660016      1.002324     0.3978369E-01
    225  6.690016      1.005312     0.3937255E-01
    226  6.720016      1.006382     0.3989590E-01
    227  6.750016      1.007465     0.3922695E-01
    228  6.780016      1.008395     0.3947083E-01
    229  6.810017      1.011125     0.3858658E-01
    230  6.840017      1.012156     0.3891574E-01
    231  6.870017      1.012966     0.3923607E-01
    232  6.900017      1.015342     0.3792597E-01
    233  6.930017      1.016934     0.3825303E-01
    234  6.960018      1.017906     0.3837593E-01
    235  6.990018      1.017573     0.3808281E-01
    236  7.020018      1.020107     0.3853711E-01
    237  7.050018      1.018690     0.3840232E-01
    238  7.080019      1.019893     0.3861437E-01
    239  7.110019      1.018513     0.3764835E-01
    240  7.140019      1.019288     0.3798721E-01
    241  7.170019      1.019751     0.3780949E-01
    242  7.200019      1.019502     0.3743720E-01
    243  7.230020      1.019743     0.3755800E-01
    244  7.260020      1.021246     0.3663411E-01
    245  7.290020      1.019829     0.3749288E-01
    246  7.320020      1.018096     0.3689513E-01
    247  7.350020      1.017582     0.3738462E-01
    248  7.380021      1.017571     0.3620697E-01
    249  7.410021      1.017297     0.3592768E-01
    250  7.440021      1.018250     0.3598239E-01
    251  7.470021      1.015450     0.3693711E-01
    252  7.500021      1.016254     0.3602874E-01
    253  7.530022      1.015553     0.3567128E-01
    254  7.560022      1.013945     0.3528487E-01
    255  7.590022      1.012861     0.3503907E-01
    256  7.620022      1.011510     0.3511384E-01
    257  7.650023      1.010484     0.3508327E-01
    258  7.680023      1.009496     0.3422500E-01
    259  7.710023      1.008863     0.3483947E-01
    260  7.740023      1.007017     0.3440737E-01
    261  7.770023      1.005073     0.3440911E-01
    262  7.800024      1.005030     0.3365955E-01
    263  7.830024      1.003011     0.3405740E-01
    264  7.860024      1.001287     0.3351758E-01
    265  7.890024     0.9995860     0.3433888E-01
    266  7.920024     0.9983325     0.3351314E-01
    267  7.950025     0.9979509     0.3304568E-01
    268  7.980025     0.9965994     0.3365246E-01
    269  8.010024     0.9946964     0.3286844E-01
    270  8.040024     0.9940214     0.3304387E-01
    271  8.070024     0.9937801     0.3248447E-01
    272  8.100023     0.9930223     0.3285756E-01
    273  8.130023     0.9910317     0.3247529E-01
    274  8.160023     0.9909296     0.3229769E-01
    275  8.190022     0.9909258     0.3267565E-01
    276  8.220022     0.9902164     0.3193299E-01
    277  8.250022     0.9891793     0.3204200E-01
    278  8.280022     0.9886398     0.3208290E-01
